Agenda,날짜,비고,업무 내역,요약,참석자,카테고리
출근 첫날 보안 점검 및 내부/개발 망 세팅,2025년 5월 8일,,"PC 보안 점검 및 네트워크 설정
    • 업무망 및 개발망 접속을 위한 기본 보안 설정 및 네트워크 환경 구성 완료

필수 소프트웨어 설치 및 개발 환경 세팅
    • 업무에 필요한 툴 및 소프트웨어 설치
    • 개발 및 테스트에 필요한 설정 완료백엔드 코드 분석
    • 기존 백엔드 코드 구조 파악
    • 주요 비즈니스 로직 흐름 및 연동 방식 이해

DB 연결 및 고객사 보험 데이터 작업
    • 데이터베이스 연결 및 접속 확인
    • 고객사 보험 관련 샘플 데이터 100건 삽입을 위한 SQL 쿼리문 작성 및 실행","업무망과 개발망 환경에서 보안 설정 및 네트워크 구성을 직접 수행하며 실무 시스템 접속의 기반을 다졌고, 이후 백엔드 코드 분석을 통해 기존 비즈니스 로직과 데이터 흐름을 이해할 수 있었습니다. 또한, 고객사 보험 데이터를 대상으로 SQL 삽입 쿼리를 작성·적용하며 실제 데이터를 다루는 데 있어 정확성과 책임감의 중요성을 체감했습니다. 전반적으로 실무 환경 세팅과 백엔드 업무 흐름 전반을 경험할 수 있었던 유익한 하루였습니다.",Shinbeom Kwon,계획
샘플 파일 추출/DB 관리/ 백엔드 개발,2025년 5월 9일,,"다양한 확장자별 샘플 파일 확보
    • 미디어, 오디오, 이미지, 문서 등 각 파일 유형별 주요 확장자(jpeg, mp4, mp3, pdf 등)에 대한 샘플 파일 수집 및 정리

DB 작업 – 고객사 보험 데이터 삽입 및 업데이트
    • 총 240건의 고객사 보험 관련 데이터 삽입
    • 기존 데이터 중 일부 항목에 대해 조건부 업데이트 수행[개발] 인터페이스 호출 및 

결과값 저장 Service 개발
    • 외부 인터페이스 API 호출 로직 구현
    • 응답 결과를 가공 후 DB에 저장하는 서비스 로직 개발

[개발] Controller 테스트 코드 작성
    • Controller 레이어 단위 테스트 코드 작성 및 실행
    • 정상 흐름 및 예외 케이스 검증을 통한 품질 확보","
파일 샘플 수집부터 DB 데이터 대량 처리, 인터페이스 연동, 테스트 코드 개발까지 비교적 다양한 작업을 수행하며 전체적인 업무 흐름을 체계적으로 경험할 수 있던 하루였습니다.
특히, 외부 인터페이스와 연동한 서비스 개발을 통해 실시간 응답 처리와 데이터 저장 흐름을 직접 구현하면서 API 통신 구조에 대한 이해도를 높일 수 있었습니다.
또한 Controller 단의 테스트 코드를 작성하며 예외 상황에 대한 검증의 중요성과 테스트 기반 개발의 필요성을 다시 한 번 느꼈습니다.
전반적으로 백엔드 전반에 걸친 실무 역량을 강화할 수 있었던 의미 있는 시간이었습니다.

",Shinbeom Kwon,"개발, 계획"
"기간계 인터페이스 호출, 저장, 관리",2025년 5월 12일,,"[개발] SaveCallResultService 코드 리팩토링 및 간소화
• 불필요한 로직(코드) 제거 및 구조 개선
• 핵심 기능 중심으로 코드 간결화

[개발] 테스트용 Controller 구현
• SaveCallResultService 호출 테스트를 위한 REST API Controller 개발
• 실제 tb_interface_history 테이블에 결과 저장되는지 확인

인터페이스 구조 및 비즈니스 로직 분석
• 각 인터페이스의 역할, 전달 파라미터, 응답 구조, 연계 흐름 분석
• 서비스 로직 설계를 위한 핵심 비즈니스 조건 파악

형상 관리 도구(SVN) 학습 및 사용
• SVN 기본 명령어 및 브랜치 전략 학습
• 소스 커밋 및 형상 동기화 실습 진행","SaveCallResultService를 중심으로 한 개발 작업과 테스트 환경 구축, 그리고 인터페이스 분석까지 다방면의 작업을 수행하며 전체 흐름을 유기적으로 이해하는 데 집중했다.

특히 실제 테이블(tb_interface_history)에 데이터를 저장하는 로직을 구현하며 단순한 코드 작성이 아닌, 비즈니스 요건을 기반으로 한 데이터 처리의 중요성을 체감했다.
또한 인터페이스마다 요청·응답 구조가 달라 이를 정확히 파악하고 적절한 로직으로 변환하는 과정에서 분석 역량이 요구되었고, 실서비스 연계를 고려한 코딩에 대한 감각도 키울 수 있었다.

형상 관리 도구인 SVN은 처음 접했지만, 커밋·업데이트·충돌 처리 등 기본적인 사용법을 익히며 협업 개발 환경에 점점 적응해 가고 있다.
전반적으로 오늘은 실무 중심의 코드 작성과 연동, 관리까지 경험하며 백엔드 개발자로서 필요한 분석력과 구조화 능력을 기를 수 있었던 의미 있는 하루였다.",Shinbeom Kwon,"개발, 분석"
기간계 인터페이스 호출을 위한 서비스,2025년 5월 13일,"SVN 형상 관리

파랑 : Commit 해야할 것
검정 : Update 해야할 것
초록 : 충돌난 것 ( Update 후 Commit 해야됨)

[mobile server]
InboundCallController
InboundCallService","[개발] 인바운드 이벤트 수신용 Controller 구현
• 상담사 휴대폰 수신 시 발생하는 인바운드 이벤트를 처리하기 위한 API 컨트롤러 개발
• 효진 대리 측 이벤트 수신 테스트 및 연동 확인

[개발] 기간계 인터페이스(CO00007459) 호출 서비스 구현
• 인바운드 이벤트 수신 후 접수번호, 고객번호, 이름, 전화번호 등의 정보를 기반으로 기간계 인터페이스 호출
• 응답 데이터 가공 및 전달 로직 개발

[개발] 소프트폰(WebSocket) 연동 처리
• 웹소켓 세션 관리 및 사용자 식별 처리 구현
• 소프트폰으로 실시간 알림 메시지 전송 기능 개발로컬 환경 테스트 완료
• 전체 이벤트 흐름에 대한 end-to-end 로컬 테스트 진행
• 고객 발신 → 이벤트 발생 → 인터페이스 호출 → 소프트폰 알림까지 데이터 정상적으로 transfer 가능 

확인코드 리뷰 및 최적화
• 팀 내 코드 리뷰를 통해 불필요한 로직 제거 및 구조 개선
• 서비스/컨트롤러 간 책임 분리 및 가독성 향상","인바운드 콜 흐름을 기준으로 이벤트 수신부터 인터페이스 호출, 웹소켓 전송까지 실시간 흐름을 서버 단에서 책임지는 주요 로직을 개발하였다.
효진 대리로부터 이벤트를 수신받아 이를 기반으로 기간계 인터페이스를 호출하고, 응답 데이터를 소프트폰으로 전송하는 전체 흐름을 구성하면서 실시간 통신 구조에 대한 이해를 깊이 있게 다질 수 있었다.

특히, 웹소켓 세션 관리와 사용자별 연결 처리, 컨트롤러와 서비스 간 로직 분리를 고민하며 구조적으로 탄탄한 코드를 구현하려고 노력했고, 코드 리뷰를 통해 개선 포인트를 명확히 짚어보는 좋은 경험이 되었다.

고객 발신(상담사 법인폰 전화가 옴) → 이벤트 발생 → 서버에서 이벤트를 수신 후 기간계 인터페이스 호출 → 인터페이스에서 필요한 데이터를 추출 → 상담사 소프트폰에 알림(data)으로 띄워줌",Shinbeom Kwon,개발
Caffeign Cache 활용한 DB 데이터 가져오기,2025년 5월 14일,"JKS는 Java KeyStore 파일의 확장자. 

.jks : java 애플리케이션에서 SSL/TLS 인증서, 키 쌍(개인키/공개키), CA 인증서 등을 저장하고 사용하는 암호화된 키 저장소(KeyStore) 포맷

인증서(.crt,), 개인키(.key), CA 체인(.pem 또는 .cer) 등을 따로따로 관리하지 않고 하나의 .jks 파일에 모두 통합해서 안전하게 관리 가능","[개발] Admin Server 캐시 서비스 구현
• tb_consult_type 테이블 기반 캐시 서비스 개발
• SELECT * 대신 명시적 컬럼 조회로 유지보수 용이성 확보
• 접근 제한자는 consult로 설정 (Config에 등록)
• 기존 dept 캐시 조회 로직을 참고하여 구조 통일성 유지
• cacheType = consult 조건을 갖는 캐시 조회용 Controller 개발[개발] 메세지 

조회 및 기록 기능 구현
• tb_sms_log 테이블 기반 조회 기능 개발
• 조회 조건: 날짜(필수), 사번(필수), 전화번호(선택), 접수번호(선택)
• 메세지 미리보기: 최신 메세지 기준 40자까지만 표시
• 날짜별로 마지막 메세지 수신 전화번호 및 메세지 요약 표기

(파일 포함 시 이미지/첨부파일 여부 표시, PPT 기준 참고)
• 모든 기능은 Admin Server 내에서 구현","Admin Server 내에서 캐시 서비스와 메세지 조회 기능을 동시에 개발하면서, 성능 최적화와 유지보수성을 모두 고려한 설계의 중요성을 다시 한 번 느꼈다.

특히 캐시 서비스에서는 SELECT * 대신 필요한 컬럼만 명시적으로 조회하도록 설계함으로써 향후 변경 사항에 유연하게 대응할 수 있는 기반을 마련했다.

접근 제한자 설정과 기존 로직을 참고한 개발은 팀 내 코드 일관성을 유지하는 데 큰 도움이 되었다.
또한, 메세지 조회 기능은 실제 사용자 요구사항을 충족시키기 위해 필수 조회 조건을 명확히 정의하고, 가독성과 사용자 편의를 고려한 미리보기 로직 구현에 집중했다.

날짜별 메세지 요약 처리나 파일 구분 로직 등은 단순한 기능 구현을 넘어서 사용자 경험(UX)을 개선하는 요소로 작용할 수 있다는 점에서 의미 있었다.",Shinbeom Kwon,"개발, 분석"
" 메세지 기록, 메세지 조회 기능 개발",2025년 5월 15일,"SmsLogController
SmsLogService
SmsLogMapper.xml
-selectLatestSmsByCustomer","[개발] SmsLogMapper 쿼리 작성 및 최적화
• INNER JOIN과 GROUP BY를 활용해 고객별 최신 메세지 1건씩만 조회하는 쿼리 작성
• 성능 및 정합성을 고려하여 중복 데이터 없이 대표 메세지를 도출
• WHERE 1=1 사용 지양:

→ SQL 조건절 관리가 느슨해지고 유지보수 시 조건 누락에 따른 오류 발생 가능성이 있기 때문
• Mapper.xml에서 <if> 문 사용 시, Java(Spring)에서 전달된 파라미터를 활용하여 동적 SQL 구현[개발] 서비스 및 컨트롤러 구현
• SmsLogController에서 클라이언트 요청(사번, 시작일, 종료일, 고객번호, 보상번호)을 수신하여 SmsLogService로 전달
• SmsLogService에서 다음 기능 처리:
    ◦ 고객별 최신 메세지 조회
    ◦ 미리보기용 메세지: 메세지 본문 중 최대 40자까지만 추출하여 요약 표시
    ◦ 요청 조건에 따라 유동적으로 조회 조건 적용
• 응답 포맷:
    ◦ 성공 여부 (success: true/false)
    ◦ 요청된 사번 기준 전체 메세지 수
    ◦ 각 고객의 최신 메세지 요약 정보 목록","SQL과 서비스 로직을 유기적으로 연계하는 작업을 통해 **""쿼리 최적화와 API 설계는 별개가 아니라 하나의 흐름이다""**라는 점을 실감할 수 있었다.

특히 고객별 최신 메세지를 도출하기 위한 JOIN + GROUP BY 구성과 40자 미리보기 구현은 단순 출력이 아니라 데이터 요약 처리 및 응답 최적화라는 실질적 가치를 제공하는 작업이었다.
또한 Mapper의 <if>문 활용과 Spring 파라미터 연동을 통해 동적 SQL 처리의 유연성을 익혔으며, 컨트롤러-서비스-쿼리 계층 간 명확한 역할 분리를 지키면서 안정적인 코드 구조를 유지하는 것의 중요성도 다시 한 번 체감했다.",Shinbeom Kwon,"개발, 테스트"
메세지 조회 기능 개발 완료/ 코드 병합,2025년 5월 16일,"Inner Join에서 PK 로 조건절을 완성해야 한다. 쿼리 실행 효율성 및 데이터 무결성을 위함.

날짜형식은 
 - startTime + “000000”
 - endTime + “235959” 
검색 조건 설정을 서버에서 해줌","메세지 조회 기능 개발 완료
• tb_sms_log를 기반으로 한 메세지 조회 기능 개발 마무리
• 필터 조건(날짜, 사번, 고객번호 등)에 따른 조회 및 최신 메세지 미리보기 제공Mobile Server 구조 정리
• 기간계 인터페이스 관련 기능이 모두 인바운드 콜 시 동작함을 고려하여 구조 단순화
• CallService 및 CallController로 기능 통합 및 병합

코드 최적화 및 리팩토링
• 병합 후 불필요한 함수, 변수 삭제
• 실제 비즈니스 로직 흐름에 맞는 메서드 체계로 재구성
• 공통 예외 처리 로직 구현 및 오류 발생 시 사용자 정의 예외 메시지 반환

로컬 테스트 환경 검증
• 로컬 서버에서 토큰 및 Client IP 없이도 테스트 통과
• SSL 미설정 상태로 테스트 진행하여 인증 없이도 동작 확인","전체 흐름을 다시 정리하고 구조를 통합하는 과정에서 “기능 중심의 통합 설계”의 필요성과 효과를 실감할 수 있었다.

각기 흩어져 있던 인터페이스 호출 로직들을 하나의 명확한 진입점(CallController)으로 통합함으로써 유지보수성과 확장성이 크게 향상되었고, 불필요한 코드 제거와 명확한 메서드 재구성을 통해 코드 가독성도 높일 수 있었다.
또한 로컬 환경에서의 테스트를 통해 SSL 및 인증 관련 요소들을 유연하게 조정하며 상황별 대응 방안을 미리 점검할 수 있었던 점도 실무적으로 유의미한 경험이었다.

이번 구조 정비는 단순히 코드 정리가 아닌, 업무의 흐름과 시스템의 방향성을 다시 설계하는 과정이었기에 더 뜻깊었다.",Shinbeom Kwon,"개발, 테스트, 회고"
"기간계 인터페이스 호출 서비스 테스트 서버에서 단위 테스트 ",2025년 5월 19일,"1. 빌드하기
프로젝트 우클릭 -> run as -> Maven build -> clean install입력, offline, 후 빌드

2. SSH 접속
프로젝트 폴더로 이동(wisenadm) -> ./shutdown.sh 실행 -> ls -al(숨김 파일까지 보임) -> ps -ef|grep java(실행중인 자바파일 확인) -> ./startup.sh -> tail -f /log/wisentm/wisentm.log(실시간 로그 확인)
","Maven 빌드를 통한 JAR 파일 생성
• pom.xml 기반 Maven 빌드 수행
• .jar 파일 패키징 완료 후 테스트계 서버에 배포 준비

테스트계 서버에 JAR 업로드 및 실행
• 빌드된 JAR 파일을 테스트 서버에 직접 업로드 (scp 등 사용)
• 백엔드 서버 실행 후 프론트엔드와 연동 테스트 진행
• 정상 실행 확인 후 WebSocket 연동 로직 테스트 수행

WebSocket 실시간 전송 처리
•  성공 시: 고객정보, 보상번호, 처리일자 등 주요 데이터를 WebSocket을 통해 클라이언트(소프트폰)로 실시간 전송
•  실패 시: 실패 알림 전송
    ◦ 빈 값이라도 전달하여 UI 단에서 ""응답 실패"" 상태를 명확하게 인식할 수 있도록 설계

리눅스 서버 명령어 학습 및 실습
• scp, ps, kill, chmod, nohup, tail, netstat, curl 등
• 배포 및 모니터링 관련 명령어들을 실습하며 서버 운영 경험 강화
• JAR 파일 실행 로그 확인 및 백그라운드 실행 처리 등 배포 운영 기반 습득","Maven 빌드를 통한 JAR 생성부터 테스트계 서버 배포, WebSocket을 통한 실시간 알림 전송까지 개발-배포-테스트-운영 전 과정을 직접 다뤄보며, 개발자의 관점뿐 아니라 운영 관점에서도 중요한 고려사항들을 체득할 수 있었다.
특히 WebSocket 전송에서는 성공/실패 여부에 따른 처리 방식에 신경을 쓰며 예외 상황에서도 사용자 단에 명확한 피드백을 전달하는 설계가 얼마나 중요한지 다시 한 번 느꼈다.

또한, 리눅스 서버 명령어 실습을 통해 배포 환경에서의 실전 대응 능력을 한층 더 강화할 수 있었고, 시스템 로그와 프로세스 흐름에 대한 이해도가 높아졌다.

오늘의 깨달음 : 꼭 필요한 메서드, 필요한 비즈니스 로직만 실제 서비스 코드에 있어야 한다. 쓸모 없거나 필요없거나 하나의 컴포넌트만을 위한 메서드라면 가감없이 삭제해야한다.",Shinbeom Kwon,"계획, 테스트"
wisenTM Frontend 코드 분석,2025년 5월 20일,"프론트 테스트
1.http://eptest.kbinsure.co.kr/epportal/login 에서 로그인 하기.
khr11 / !top0317
2. SSO 토큰정보 확인

3. https://test.kbinsure.co.kr:9000/#/ 으로 접속

또는 https://test.kbinsure.co.kr:9000/popup-launcher.html 로 접속","WisenTM 프론트 프로젝트 환경 구성
• 프론트엔드 개발을 위한 프로젝트 초기 세팅
• 필요한 의존성 패키지 및 설정 파일 설치 (npm install, .env, vue.config.js 등)

VSC를 활용한 Vue 코드 분석
• Vue 컴포넌트 구조 파악 (페이지 구성, 라우팅 방식, API 통신 구조 등)
• 기존 코드 흐름을 분석하여 메세지 조회 기능이 삽입될 위치 및 방식 설계

메세지 조회 기능 연동 테스트
• 지난주 목요일 개발 완료한 백엔드 API와 프론트 연동
• 실제 조회 테스트를 통해 API 호출 성공 및 응답 처리 로직 확인
• 테스트 중 발견된 요청 포맷 오류 수정 및 axios 호출 방식 조정

API 요청 형식 수정 및 프론트 연동 구현
• 백엔드 요청 형식 (사번, 날짜, 전화번호, 접수번호)에 맞춰 요청 파라미터 재구성
• API 호출 시 query parameter 또는 body 전송 형식 일치하도록 수정

메세지 조회 프론트 UI 구현
• 조회 조건 입력 필드 구성 (기간, 사번, 고객번호 등)
• 응답 결과를 테이블 형태로 출력하고, 메세지 미리보기(40자) 및 파일 여부 표시 구현
• 일자별 최신 메세지를 기준으로 정렬 및 표기","프론트와 백엔드 간 통신 및 데이터 처리 흐름을 맞추는 과정에서 클라이언트와 서버 간 계약(API 명세)의 중요성을 다시 한 번 느낄 수 있었다.

Vue 코드 분석을 통해 컴포넌트 간 구조와 상태 관리 흐름을 익히고, 실제 데이터를 요청하고 렌더링하는 과정에서 프론트와 백엔드 협업의 핵심 포인트들을 실습할 수 있었다.
API 요청 형식이 달라 호출이 실패하는 문제를 직접 파악하고 수정하며, 개발 시 양방향 소통을 전제로 한 API 설계가 얼마나 중요한지도 체감했다.",Shinbeom Kwon,"개발, 분석, 테스트"
메세지 기록 조회 백엔드 프론트 연동,2025년 5월 21일,"spring application으로 플젝 실행이 안될 시,

1. project → clean 누르기
2. maven build 하기
3. spring application 다시 실행","
1. 메세지 조회 기능 프론트-백엔드 연동 완료
    ◦ Vue 프론트엔드에서 메세지 조회 요청 시, 백엔드 API 호출 성공적으로 연동
    ◦ 사용자 입력값(사번, 기간 등)을 전달하고, 응답 데이터 렌더링 완료

2. [백엔드] mobilService와 mobilController로 로직 병합
    ◦ 기존 분리되어 있던 관련 메세지 조회 기능을 mobilService, mobilController로 통합
    ◦ 중복 코드 제거 및 유지보수성을 고려한 구조 정비

3. [테스트] 콜테스트 및 결과 정리
    ◦ 실제 조건 하에서 메세지 조회 콜 테스트 수행
    ◦ 요청 파라미터별 정상 작동 여부 확인
    ◦ 테스트 결과를 엑셀 파일로 정리하여 항목별 성공/실패 상태 및 응답 값 명세 기록

4. [프론트] UX 개선을 위한 코드 수정
    ◦ 사용자 관점에서 조회 시 로딩 처리, 결과 없음 안내, 응답 지연 대응 등의 UX 요소를 반영
    ◦ 불필요한 화면 깜빡임 및 중복 렌더링 방지
    ◦ 사용자가 직관적으로 결과를 인지할 수 있도록 메시지 강조 및 미리보기 레이아웃 개선","기능 구현뿐 아니라 코드 구조 정비와 사용자 경험 개선까지 전반적인 품질 향상에 집중할 수 있었던 하루였다.

백엔드에서는 관련 기능들을 mobilService와 mobilController로 병합하며 로직 흐름을 명확히 정리했고, 이를 통해 추후 기능 확장 및 유지보수가 쉬워질 수 있는 기반을 마련했다.
또한 테스트 케이스별 결과를 정리하면서 정상 동작뿐 아니라 예외 상황까지 고려한 검증 습관이 얼마나 중요한지 다시 한 번 확인할 수 있었다.

프론트에서는 단순 기능 구현을 넘어서 사용자의 관점에서 느낄 수 있는 불편을 최소화하기 위해 코드 개선을 시도했고, 이는 실제 서비스 품질에 큰 영향을 미치는 부분임을 체감했다.
이번 작업을 통해 단순 기능 완성이 아닌 서비스 수준 향상을 위한 개발자 마인드셋을 되새길 수 있었다.",Shinbeom Kwon,개발
